maxroll,maxpitch,maxyaw,minroll,minpitch,minyaw,avgroll,avgpitch,avgyaw,ranroll,ranpitch,ranyaw,asyroll,asypitch,asyyaw,class
43.85,80.49,42.61,-5.39,23.93,1.33,12.319823788546255,62.94295154185023,29.66726872246696,49.24,56.559999999999995,41.28,1.2037290487618892,-0.8000034706795854,-0.7486253853675903,on 
72.96,18.22,70.69,-0.63,-5.84,-2.04,25.030913978494628,4.634354838709676,26.041827956989245,73.58999999999999,24.06,72.73,0.5956373912876353,0.525464505663304,0.4509469306114333,on 
17.27,55.41,41.88,-41.23,-66.6,-36.21,-9.929292929292941,-2.0492424242424185,2.437727272727269,58.5,122.00999999999999,78.09,-0.1358590375028752,0.12449853191063859,0.0395178818263363,on 
68.65,23.47,75.21,-5.32,-3.91,-0.04,30.157999999999998,9.358486486486486,38.373027027027014,73.97,27.38,75.25,0.11307246077424683,0.007730315128360058,-0.10353065285189121,on 
51.33,56.31,37.56,-44.67,-52.19,-32.02,5.681686046511619,1.1917441860465194,-2.348023255813955,96.0,108.5,69.58000000000001,-0.04562893935566276,0.08948495403112784,0.468552656140324,on 
32.65,23.08,50.89,-22.99,-43.95,-4.66,3.260245098039215,-10.123382352941176,17.43367647058824,55.64,67.03,55.55,0.1675010882076286,-0.01285454656774751,0.4689637500978175,on 
40.57,43.74,31.93,-40.15,-13.19,-21.88,-2.862397260273971,8.61458904109589,-2.6844520547945225,80.72,56.93,53.81,0.42129255369275675,0.5615041521865155,0.5954986364981689,on 
20.82,17.72,72.59,-71.18,6.38,40.97,-24.809042553191496,14.346382978723401,53.868297872340406,92.0,11.34,31.620000000000005,-0.04111126969088641,-1.2003211030766985,0.5312575422105253,on 
23.35,36.11,56.68,-25.76,-28.5,-25.63,0.45581081081080704,3.387027027027028,15.821621621621615,49.11,64.61,82.31,-0.03809776962737475,0.02904936102399756,-0.01949638830067501,on 
7.11,46.07,83.53,-71.31,1.98,31.0,-42.75205000000002,28.021200000000007,66.03264999999992,78.42,44.09,52.53,0.5526622454662347,-0.4674941787908148,-0.3317182117915271,on 
45.68,42.32,45.37,-40.87,-60.16,-17.85,-2.640789473684214,-16.48578947368419,8.773842105263158,86.55,102.47999999999999,63.22,0.1716041966817507,0.3593986628461396,0.2922531089543619,on 
27.34,6.66,-1.94,-7.15,-6.38,-48.2,8.433,-1.5189,-26.562499999999986,34.49,13.04,46.260000000000005,0.09992941453953018,0.5190806752514383,0.03550725492426168,on 
44.21,43.47,42.87,-1.62,5.17,-24.71,22.20524590163935,22.528961748633876,6.347704918032788,45.83,38.3,67.58,0.12365206864432982,0.30759081487522205,0.15146778162699298,on 
18.8,34.95,41.04,-32.5,-7.92,-1.22,-10.921607142857141,8.942276785714286,15.895624999999999,51.3,42.870000000000005,42.26,0.3145623515149736,0.47530981251895604,0.5245410235298869,on 
4.84,77.46,42.92,-27.63,63.85,-44.91,-9.497197802197801,70.18467032967031,-7.76175824175824,32.47,13.609999999999992,87.83,-0.029348388067214324,0.3969364338945909,0.3018103845360673,on 
22.1,40.19,28.09,-32.66,-10.91,-75.29,-3.8889947089947148,19.612539682539683,-10.57068783068781,54.76,51.099999999999994,103.38000000000001,-0.5013930345859274,-0.505362934817367,-0.5061123726023344,on 
49.27,20.93,54.27,-6.43,1.87,-1.1,23.2976724137931,10.969137931034485,26.972500000000004,55.7,19.06,55.370000000000005,0.04113563549311922,0.19377991592028512,-0.001258090753154491,on 
1.63,7.37,69.14,-54.23,-4.54,3.79,-39.46205741626795,-0.9216267942583728,54.29641148325361,55.86,11.91,65.35,1.5694318651966863,1.431353651966335,-1.2029336287209365,on 
8.08,28.55,67.85,-70.76,6.53,16.58,-45.15197183098591,12.862582159624418,52.363521126760574,78.84,22.02,51.269999999999996,0.9104791950844123,1.1543954930090496,-0.8945868369744207,on 
3.96,24.79,53.03,-61.34,15.97,45.82,-27.916397058823534,20.420294117647067,50.07088235294117,65.3,8.819999999999999,7.210000000000001,-0.07468195184593088,-0.20312450480698005,-0.3842090774048824,on 
55.06,-3.25,37.51,-62.71,-21.82,3.74,-22.66524137931035,-9.3468275862069,22.103034482758616,117.77000000000001,18.57,33.769999999999996,0.7007210513256314,-1.1718124304848685,-0.1837685370827977,on 
16.13,30.39,61.32,-33.99,-56.31,44.13,-12.760000000000002,2.38006756756757,54.74743243243243,50.120000000000005,86.7,17.189999999999998,0.3308280507984248,-0.7555437646886333,-0.7024674571107481,on 
27.34,23.34,19.87,-99.61,-27.03,12.32,-28.857272727272722,1.5593181818181843,16.725075757575762,126.95,50.370000000000005,7.550000000000001,-0.2817228488267985,-0.2095127099576357,-0.3287246295420468,on 
37.83,34.79,40.66,-3.61,-3.43,-0.97,15.289924242424238,13.827500000000004,15.661818181818186,41.44,38.22,41.629999999999995,0.35587725518967356,0.45321572379918107,0.461115274336061,on 
59.05,26.78,31.28,-12.64,-24.05,-30.15,29.926260162601622,5.821056910569105,6.626097560975611,71.69,50.83,61.43,-0.2774886990210817,-0.26422611057734235,-0.3955471926999371,on 
7.55,6.2,53.82,-52.33,-25.83,-1.48,-31.608249999999998,-14.163,36.167,59.879999999999995,32.03,55.3,0.7190594169926493,0.5502854517535273,-0.7612084831380675,on 
56.39,25.75,37.27,-19.28,-73.99,24.61,18.151266666666665,-24.232266666666664,32.723866666666666,75.67,99.74,12.660000000000004,0.3158105852111459,0.013818062195989961,-0.5849420705467879,on 
